"","State","ST","avg.salary_19","avg.salary_20","avg.salary_21","avg.salary_22","avg.salary_23","avg.salary_24","prop_nonwhite"
"1","AL",1,18035.2875586854,26514.7168857432,37869.6122602225,41775.9167062549,80368.1044487427,62122.4696356275,0.282370926273365
"2","AK",2,27452.7031509121,34991.6221765914,44650.6338028169,52931.3260340633,91221.5228426396,63769.4915254237,0.459433601224646
"3","AZ",4,19711.4177593007,25588.025560772,37228.0767773709,44597.1654015182,78960.4018417748,59823.2337992376,0.227524766734906
"4","AR",5,17203.4156615328,24414.4001029866,35003.7782834029,39708.9528074406,81404.4403669725,57599.5909090909,0.189845196990831
"5","CA",6,21405.7460867447,27820.4034189129,44334.4117020032,59441.521729628,85918.713712911,74880.300330873,0.359981670632564
"6","CO",8,21808.4945716542,28219.6207050424,41335.830573591,50548.731582319,86886.6917922948,64501.9515011547,0.138769275339417
"7","CT",9,23607.1475898625,32883.6162039462,54071.318131322,68527.3915750156,106377.795307443,76432.3405797101,0.183902865289978
"8","DE",10,22158.4518013632,29387.4108416548,40643.0971946727,48883.9963833635,93263.9204545455,62381.884057971,0.246010991093424
"9","DC",11,18382.8375177641,26388.7640449438,52852.9297417384,69843.6894001643,117764.609929078,84642.030651341,0.5749443146629
"10","FL",12,18598.3470213499,25041.411662891,36052.4838632877,42590.6614292086,77766.52728255,59026.6131687243,0.216780183910226
"11","GA",13,19570.1199485935,26658.1145322899,42402.6244156727,50398.2203624291,81786.3326848249,63045.5665024631,0.352478501013773
"12","HI",15,21532.6953993501,29085.1223491028,35635.1458885942,44488.4490398818,62383.0357142857,61069.4960212202,0.758682207421503
"13","ID",16,16943.5927078702,22989.3655269651,30983.9208512227,39487.1326164875,69090.5963302752,56491.4714714715,0.0772751463544439
"14","IL",17,21273.5432749167,28801.1697005823,44237.2247255921,57183.8177618767,99199.9763550382,70986.0053799596,0.21480152936357
"15","IN",18,19182.7314290691,28929.1832374692,39100.4622271401,42365.3032370086,86496.243767313,64232.0208500401,0.123773909088612
"16","IA",19,18983.0391277587,27833.5613868117,35517.2775502606,42992.9705144291,77273.4584755404,59884.7940074906,0.0572088714743556
"17","KS",20,19549.00113014,26968.8354635829,37401.1430367244,44787.9847546451,83374.0895218718,58403.097826087,0.115371241799764
"18","KY",21,18307.9252761533,26258.368972128,38991.8789808917,40605.9800065552,80114.1755634638,62700.2808302808,0.102652904160442
"19","LA",22,20705.3043530471,29767.4706120794,38223.7142857143,41508.5234899329,83447.2536554355,61812.16367713,0.342283234832049
"20","ME",23,16573.2540192926,26382.9323583181,32616.7451442025,34128.112195122,73536.3532110092,46057.8787878788,0.0444617981207648
"21","MD",24,26565.3473255929,34336.9541975459,49842.2261327317,64706.5003052296,103144.893025565,81718.4580838323,0.360956819315231
"22","MA",25,20710.6954618546,31803.4818525354,47948.9224475484,60254.8547786059,94699.6138636892,79990.5769756631,0.169196437348853
"23","MI",26,18075.8661363464,26045.6341724692,37477.8670999484,47017.147703372,85740.7155852032,64698.5401831129,0.156468864222069
"24","MN",27,21608.6435666651,30802.2942220165,41195.2057784621,50824.6040189125,94931.2600401606,69275.37299339,0.0901111617199906
"25","MS",28,16126.0842105263,25479.643609887,32804.2472049689,34852.9969879518,82830.2469135803,55041.1524163569,0.397823595492868
"26","MO",29,18329.8338260601,25870.2445175439,37417.7398835445,45615.3292371899,88234.4120505345,59869.5708812261,0.136883654857564
"27","MT",30,16783.7817201886,23313.8052602126,27964.2478085762,34699.0438247012,63431.25,45288.0888888889,0.107012796097691
"28","NE",31,18931.5526280414,27801.8484555985,36746.365918282,43490.317679558,81878.8081936685,63904.9132947977,0.0829032316075314
